pt_japanese,pt_english,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
多形紅斑,Erythema multiforme,full_jader_excluding_dato,1,49,7822,1029289,50,1037111,2.685489383684949,0.37077458923427875,19.450775320872015,2.6517795960112505,0.04033354279863729,0.7740912364321495,-3.0267404715572264,0.37713527600825714,1.593452745765495,0.15705281448968728,False,False,False,False,False
骨髄抑制,Bone marrow suppression,full_jader_excluding_dato,1,49,8376,1028735,50,1037111,2.506517650039959,0.346067528959937,18.154349091472135,2.4763872970391594,0.02308310403111959,0.7308187240395295,-3.034411719080041,0.4038427977912783,1.4881021733019566,0.14666932244232822,False,False,False,False,False
呼吸困難,Dyspnoea,full_jader_excluding_dato,1,49,8779,1028332,50,1037111,2.390519119140993,0.330053707199103,17.31409626473712,2.362708736758173,0.014028644171066753,0.7001366849847019,-3.0402921850183042,0.4232708325901186,1.4198171577772982,0.13993906081133922,False,False,False,False,False
倦怠感,Malaise,full_jader_excluding_dato,1,49,9908,1027203,50,1037111,2.115797994611652,0.29212724489822517,15.324148062815231,2.0934820347194187,0.001051269708036586,0.6175013175291858,-3.057916938940756,0.47769825514071584,1.2580865968228194,0.12399868237564578,False,False,False,False,False
好中球数減少,Neutrophil count decreased,full_jader_excluding_dato,2,48,20082,1017029,50,1037111,2.1101587657271854,0.5128284356896158,8.682767387084347,2.065752415098098,0.29785389152308545,0.7678599573900972,-2.1722455191659966,0.9682199774191278,1.6196283740764401,0.3848497350639132,False,False,False,False,False
急性腎障害,Acute kidney injury,full_jader_excluding_dato,1,49,11631,1025480,50,1037111,1.799343415467812,0.2484381114004534,13.031964816254284,1.783356547158456,0.0,0.4998621264211594,-3.0873798049808436,0.5607615403972961,1.0717696119224829,0.10563503341047163,False,False,False,False,False
下痢,Diarrhoea,full_jader_excluding_dato,1,49,14343,1022768,50,1037111,1.4552615440654404,0.20093336683874471,10.539743572481513,1.4461563131841315,0.0,0.332179850166246,-3.137863011814834,0.6915030549741072,0.869165294231686,0.08566608333921222,False,False,False,False,False
白血球数減少,White blood cell count decreased,full_jader_excluding_dato,1,49,14985,1022126,50,1037111,1.3920396587063253,0.19220464314264363,10.081829344638225,1.3841988655321988,0.0,0.295183588588688,-3.1502913717079633,0.7224529267876444,0.831936187530386,0.08199673324149899,False,False,False,False,False
アナフィラキシー反応,Anaphylactic reaction,full_jader_excluding_dato,1,49,15025,1022086,50,1037111,1.3882793982817754,0.19168548154449336,10.05459397427679,1.3805138103161396,0.0,0.2929096229322328,-3.1510700957697613,0.7243812677106062,0.8297218809764952,0.08177848825283794,False,False,False,False,False
貧血,Anaemia,full_jader_excluding_dato,1,49,16133,1020978,50,1037111,1.2915319974143504,0.17832795813641747,9.353860817881804,1.2857013574660634,0.0,0.23130462072062863,-3.172811483669184,0.7777963112766485,0.7727492725247074,0.07616319245573933,False,False,False,False,False
肝機能異常,Hepatic function abnormal,full_jader_excluding_dato,1,49,22581,1014530,50,1037111,0.9169077488840627,0.1266039816658717,6.640548021486673,0.9185695939063815,0.0,-0.08283415426532065,-3.3020904725252413,1.0886448680580931,0.5521239290544636,0.05441806619966705,False,False,False,False,False
発熱,Pyrexia,full_jader_excluding_dato,1,49,23455,1013656,50,1037111,0.8819806925114961,0.12178154915559543,6.387584550835196,0.8843410786612663,0.0,-0.12059888705243763,-3.319594350515344,1.130779117224809,0.5315531885617985,0.052390586753479886,False,False,False,False,False
眼圧上昇,Intraocular pressure increased,active_breast_comparator,1,49,0,6458,50,6458,391.42424242424244,15.751442724171987,9726.914558897726,379.94117647058823,62.346631502388746,1.5629630649742388,-3.0283434628353967,0.007682851874615857,39.13819441168706,6.137655367700618,False,False,False,False,False
感染性虹彩毛様体炎,Infectious iridocyclitis,active_breast_comparator,1,49,0,6458,50,6458,391.42424242424244,15.751442724171987,9726.914558897726,379.94117647058823,62.346631502388746,1.5629630649742388,-3.0283434628353967,0.007682851874615857,39.13819441168706,6.137655367700618,False,False,False,False,False
咽喉頭炎,Pharyngolaryngitis,active_breast_comparator,1,49,0,6458,50,6458,391.42424242424244,15.751442724171987,9726.914558897726,379.94117647058823,62.346631502388746,1.5629630649742388,-3.0283434628353967,0.007682851874615857,39.13819441168706,6.137655367700618,False,False,False,False,False
角膜上皮症,Corneal epitheliopathy,active_breast_comparator,3,47,2,6456,50,6458,206.04255319148936,33.649367765509794,1261.6443203780516,193.74,159.081898184829,2.7005663981289585,-1.4388941217988345,0.03841425937307929,53.15102802036726,18.807766881033658,True,True,False,True,False
アフタ性潰瘍,Aphthous ulcer,active_breast_comparator,2,48,3,6455,50,6458,89.65277777777777,14.648319596393218,548.705980258013,86.10666666666667,56.084057271420626,2.2151395709587165,-2.0332645568828864,0.03841425937307929,35.10738873593811,9.664283918236766,False,False,False,False,False
疾患進行,Disease progression,active_breast_comparator,5,45,9,6449,50,6458,79.61728395061728,25.670988502202395,246.92901495123138,71.75555555555556,181.15317828860802,3.1783329985806175,-0.6445285857147085,0.107559926244622,39.61618402814484,17.96087826552591,True,True,False,True,False
角膜炎,Keratitis,active_breast_comparator,1,49,2,6456,50,6458,65.87755102040816,5.876139021674207,738.5549784371825,64.58,9.950716857787091,1.5199457147077213,-3.0206949103398104,0.023048555623847573,23.979158371682193,3.760413895050566,False,False,False,False,False
圧迫骨折,Compression fracture,active_breast_comparator,1,49,3,6455,50,6458,43.91156462585034,4.4887732517692,429.5662533477811,43.053333333333335,7.225651990322939,1.4989086688647597,-3.017298222909893,0.03073140749846343,20.088761057207254,3.1503214184148782,False,False,False,False,False
炎症,Inflammation,active_breast_comparator,1,49,3,6455,50,6458,43.91156462585034,4.4887732517692,429.5662533477811,43.053333333333335,7.225651990322939,1.4989086688647597,-3.017298222909893,0.03073140749846343,20.088761057207254,3.1503214184148782,False,False,False,False,False
脳出血,Cerebral haemorrhage,active_breast_comparator,2,48,7,6451,50,6458,38.398809523809526,7.776317246924275,189.61013626713776,36.902857142857144,29.87971064467073,2.135058247299654,-2.017900716100503,0.06914566687154272,22.528241579449322,6.201524255763116,False,False,False,False,False
注入に伴う反応,Infusion related reaction,active_breast_comparator,4,46,22,6436,50,6458,25.438735177865613,8.43282366909865,76.73933107612888,23.483636363636364,55.16769015888331,2.6850049609782176,-0.9486444076815439,0.1997541487400123,18.124727476540965,7.436444902983657,True,True,False,True,False
背部痛,Back pain,active_breast_comparator,1,49,6,6452,50,6458,21.94557823129252,2.5933440406864534,185.7094146977503,21.526666666666667,3.735033636207045,1.4375777405801453,-3.0086665244763373,0.053779963122311,13.512113587212825,2.118970937064299,False,False,False,False,False
骨髄炎,Osteomyelitis,active_breast_comparator,1,49,10,6448,50,6458,13.159183673469387,1.6525662023233423,104.78497908807034,12.916,2.0619936421309704,1.3596595055331206,-3.0003820948616857,0.08451137062077443,9.406235868003698,1.4750868028769248,False,False,False,False,False
口内炎,Stomatitis,active_breast_comparator,6,44,91,6367,50,6458,9.540959040959041,3.9664552422442476,22.949937377776312,8.516043956043955,31.03379542289129,2.384019795012482,-0.38206400627338777,0.7452366318377381,7.768160508143313,3.788535323271187,True,True,False,True,False
多形紅斑,Erythema multiforme,active_breast_comparator,1,49,17,6441,50,6458,7.732292917166867,1.0091333448038682,59.24722839129764,7.597647058823529,0.9560381313648262,1.2326755355490362,-2.9931245223047562,0.13829133374308544,6.140777583585713,0.9629973243348158,False,False,False,False,False
顎骨壊死,Osteonecrosis of jaw,active_breast_comparator,1,49,17,6441,50,6458,7.732292917166867,1.0091333448038682,59.24722839129764,7.597647058823529,0.9560381313648262,1.2326755355490362,-2.9931245223047562,0.13829133374308544,6.140777583585713,0.9629973243348158,False,False,False,False,False
出血性膀胱炎,Haemorrhagic cystitis,active_breast_comparator,1,49,20,6438,50,6458,6.569387755102041,0.8645441486541736,49.91862537507937,6.458,0.7186864998571658,1.1814986738370599,-2.99232555699789,0.161339889366933,5.345466392715562,0.8382765477887486,False,False,False,False,False
急性腎障害,Acute kidney injury,active_breast_comparator,1,49,27,6431,50,6458,4.860922146636432,0.6476335505410777,36.48446578457771,4.783703703703703,0.38182637260540625,1.0687055409883355,-2.9947375157639984,0.215119852489244,4.104959048064265,0.6437400680911182,False,False,False,False,False
肺毒性,Pulmonary toxicity,active_breast_comparator,1,49,33,6425,50,6458,3.973407544836116,0.5328010681728905,29.632011759100834,3.9139393939393936,0.22112096248178292,0.9785828831473209,-3.0006730201932577,0.26121696373693915,3.423895746581234,0.5369356564179266,False,False,False,False,False
うっ血性心不全,Cardiac failure congestive,active_breast_comparator,1,49,39,6419,50,6458,3.358974358974359,0.452424719662052,24.9383118426311,3.3117948717948718,0.12250239222353544,0.8937605512600519,-3.0094059370271395,0.3073140749846343,2.936666567360854,0.460528330221771,False,False,False,False,False
呼吸困難,Dyspnoea,active_breast_comparator,1,49,40,6418,50,6458,3.274489795918367,0.4413163757113324,24.296137677399532,3.229,0.11019090638938457,0.8800959762810964,-3.0110919403177365,0.3149969268592501,2.868630971974284,0.44985898168651023,False,False,False,False,False
嘔吐,Vomiting,active_breast_comparator,2,48,87,6371,50,6458,3.0512452107279695,0.7300134011243821,12.753323872754615,2.9691954022988507,0.9954930896005286,1.0785346427164308,-2.07627180251455,0.6837738168408113,2.7587527263992784,0.7594233170876687,False,False,False,False,False
アナフィラキシー反応,Anaphylactic reaction,active_breast_comparator,1,49,45,6413,50,6458,2.908390022675737,0.3930211887503217,21.522332042442205,2.870222222222222,0.061709419821645566,0.8136495745748379,-3.020373496634724,0.3534111862323294,2.570830735367863,0.403157920276173,False,False,False,False,False
悪心,Nausea,active_breast_comparator,2,48,105,6353,50,6458,2.521031746031746,0.6047586773701107,10.509317687078449,2.4601904761904763,0.5728209614674793,0.9191348211368292,-2.1216327157814594,0.8220651505838967,2.303861962848304,0.6342019990395993,False,False,False,False,False
間質性肺疾患,Interstitial lung disease,active_breast_comparator,14,36,1032,5426,50,6458,2.044681309216193,1.0989135210316383,3.8044137015743202,1.752170542635659,4.460368808433769,0.7643763589449301,-0.45550818482034316,8.036263060848187,1.7278555580727029,1.0908832008301885,True,False,False,False,False
骨髄抑制,Bone marrow suppression,active_breast_comparator,1,49,90,6368,50,6458,1.4439909297052154,0.1972289559477047,10.572026785072065,1.435111111111111,0.0,0.32296297378465766,-3.1409166385006126,0.699139520590043,1.329065865988356,0.20842423543113772,False,False,False,False,False
倦怠感,Malaise,active_breast_comparator,1,49,114,6344,50,6458,1.1356963838166845,0.15547083569019457,8.296130077955455,1.132982456140351,0.0,0.11661069493952823,-3.2165257603940356,0.8835279655808236,1.0568178349779378,0.16573027333108614,False,False,False,False,False
発熱,Pyrexia,active_breast_comparator,1,49,117,6341,50,6458,1.106052677481249,0.1514456591237086,8.077831563096455,1.103931623931624,0.0,0.09277445979302212,-3.2261256341924507,0.9065765212046711,1.0304333771790943,0.16159266015124601,False,False,False,False,False
肝機能異常,Hepatic function abnormal,active_breast_comparator,1,49,119,6339,50,6458,1.0871205625107185,0.14887404081527877,7.9384633544005405,1.085378151260504,0.0,0.07709965282838811,-3.2325331897910274,0.9219422249539029,1.013563659606071,0.15894714943798882,False,False,False,False,False
貧血,Anaemia,active_breast_comparator,1,49,127,6331,50,6458,1.0173549734854572,0.13939134974213999,7.425217877510061,1.017007874015748,0.0,0.016049924949081508,-3.2581953933208596,0.9834050399508297,0.9512689444529527,0.14917808628660478,False,False,False,False,False
好中球数減少,Neutrophil count decreased,active_breast_comparator,2,48,325,6133,50,6458,0.7862820512820513,0.19026438039287938,3.249370496420296,0.7948307692307692,6.38194382267926e-05,-0.2689338008498662,-2.6881693801013027,2.5122925629993853,0.764051634741892,0.2103264353232812,False,False,False,False,False
白血球数減少,White blood cell count decreased,active_breast_comparator,1,49,200,6258,50,6458,0.6385714285714286,0.08773624388101248,4.64771970339619,0.6458,0.0013186987252032348,-0.4466114168935848,-3.4866563767236975,1.5442532267977873,0.6094626065777781,0.09557598389255043,False,False,False,False,False
下痢,Diarrhoea,active_breast_comparator,1,49,202,6256,50,6458,0.6320468781572035,0.08684396214163237,4.600011864230197,0.6394059405940594,0.0023706193316513535,-0.45741493481078704,-3.4926567537473865,1.559618930547019,0.6035213735976862,0.09464427917190209,False,False,False,False,False
角膜上皮症,Corneal epitheliopathy,active_breast_comparator_class_exclusion,3,47,1,5393,50,5394,344.2340425531915,35.16201988908298,3370.0304028695214,323.64,166.81528229895963,2.7050658107581005,-1.4399940381740906,0.036737692872887584,52.02625504743056,18.511955771274526,True,True,False,True,False
眼圧上昇,Intraocular pressure increased,active_breast_comparator_class_exclusion,1,49,0,5394,50,5394,326.93939393939394,13.15624470160935,8124.610763463738,317.3529411764706,51.91594917910427,1.5587023100879371,-3.0275434929499987,0.009184423218221896,33.51721201363741,5.403690227492471,False,False,False,False,False
感染性虹彩毛様体炎,Infectious iridocyclitis,active_breast_comparator_class_exclusion,1,49,0,5394,50,5394,326.93939393939394,13.15624470160935,8124.610763463738,317.3529411764706,51.91594917910427,1.5587023100879371,-3.0275434929499987,0.009184423218221896,33.51721201363741,5.403690227492471,False,False,False,False,False
咽喉頭炎,Pharyngolaryngitis,active_breast_comparator_class_exclusion,1,49,0,5394,50,5394,326.93939393939394,13.15624470160935,8124.610763463738,317.3529411764706,51.91594917910427,1.5587023100879371,-3.0275434929499987,0.009184423218221896,33.51721201363741,5.403690227492471,False,False,False,False,False
疾患進行,Disease progression,active_breast_comparator_class_exclusion,5,45,6,5388,50,5394,99.77777777777777,29.381908079128767,338.83452740577775,89.9,193.7060917615063,3.1939259371995434,-0.6475950370687715,0.10102865540044086,40.874948480122285,18.578389822108036,True,True,False,True,False
アフタ性潰瘍,Aphthous ulcer,active_breast_comparator_class_exclusion,2,48,3,5391,50,5394,74.875,12.233389768831895,458.27572986218274,71.92,46.51142848335157,2.1951610458527604,-2.029138036194408,0.04592211609110948,29.73333125973918,8.269077611036517,False,False,False,False,False
角膜炎,Keratitis,active_breast_comparator_class_exclusion,1,49,2,5392,50,5394,55.02040816326531,4.907585496708298,616.85024468403,53.940000000000005,8.180486230295612,1.5075738184020997,-3.0186701371931903,0.027553269654665688,20.58819789775452,3.3192570950266123,False,False,False,False,False
圧迫骨折,Compression fracture,active_breast_comparator_class_exclusion,1,49,3,5391,50,5394,36.673469387755105,3.74877667575824,358.7685992691408,35.96,5.900223235512224,1.4826733894216526,-3.0148298374771825,0.036737692872887584,17.259362777332235,2.782577797182843,False,False,False,False,False
炎症,Inflammation,active_breast_comparator_class_exclusion,1,49,3,5391,50,5394,36.673469387755105,3.74877667575824,358.7685992691408,35.96,5.900223235512224,1.4826733894216526,-3.0148298374771825,0.036737692872887584,17.259362777332235,2.782577797182843,False,False,False,False,False
脳出血,Cerebral haemorrhage,active_breast_comparator_class_exclusion,2,48,7,5387,50,5394,32.06547619047619,6.493486026449559,158.34249263552837,30.822857142857146,24.56855137757411,2.1012023906873787,-2.012339032868503,0.08265980896399706,19.099858500348653,5.31182365405039,False,False,False,False,False
注入に伴う反応,Infusion related reaction,active_breast_comparator_class_exclusion,4,46,17,5377,50,5394,27.50383631713555,8.909470359699222,84.90527288597679,25.383529411764705,57.453472073256336,2.6992623922712107,-0.9499691129188461,0.1928728875826598,18.558525945552795,7.64158260368075,True,True,False,True,False
背部痛,Back pain,active_breast_comparator_class_exclusion,1,49,6,5388,50,5394,18.3265306122449,2.1656157855992166,155.08832476884538,17.98,2.984071098633687,1.4104513515039947,-3.00544518060914,0.06429096252755327,11.621999187972744,1.8737144190400188,False,False,False,False,False
骨髄炎,Osteomyelitis,active_breast_comparator_class_exclusion,1,49,9,5385,50,5394,12.210884353741497,1.5177787228689927,98.23941688851768,11.986666666666666,1.834026663304106,1.3416730735185822,-2.9988887063461194,0.09184423218221896,8.760566771452604,1.4123904169276476,False,False,False,False,False
口内炎,Stomatitis,active_breast_comparator_class_exclusion,6,44,88,5306,50,5394,8.222107438016529,3.4151357692356608,19.795128302444297,7.3554545454545455,25.574259007920915,2.253298783947561,-0.41034365633978,0.8633357825128581,6.733455494820057,3.2901687319426935,True,True,False,True,False
顎骨壊死,Osteonecrosis of jaw,active_breast_comparator_class_exclusion,1,49,15,5379,50,5394,7.318367346938776,0.9480576817141956,56.49287132814522,7.192,0.858586617708095,1.2132346583939424,-2.9926795176918586,0.14695077149155034,5.8700546617520635,0.9463781473724636,False,False,False,False,False
多形紅斑,Erythema multiforme,active_breast_comparator_class_exclusion,1,49,16,5378,50,5394,6.85969387755102,0.8921289400584276,52.74506630244412,6.742500000000001,0.7667258681401605,1.192897487103928,-2.992399764707277,0.15613519470977222,5.56408050688158,0.8970485805258486,False,False,False,False,False
肺毒性,Pulmonary toxicity,active_breast_comparator_class_exclusion,1,49,17,5377,50,5394,6.454981992797119,0.8424084387983237,49.46150894068892,6.345882352941176,0.6860908395651633,1.172843021274983,-2.9923086577017193,0.16531961792799413,5.28842362747352,0.8526068058104476,False,False,False,False,False
出血性膀胱炎,Haemorrhagic cystitis,active_breast_comparator_class_exclusion,1,49,20,5374,50,5394,5.483673469387755,0.7216410262014822,41.66985194446442,5.394,0.495508167185916,1.1142998915500544,-2.9930805052474767,0.1928728875826598,4.60412757614858,0.742283671423502,False,False,False,False,False
急性腎障害,Acute kidney injury,active_breast_comparator_class_exclusion,1,49,21,5373,50,5394,5.221574344023324,0.6887014539700907,39.58876298720095,5.137142857142857,0.4452015582731008,1.0953017892476942,-2.993659570725862,0.2020573108008817,4.413754841153894,0.7115915217526632,False,False,False,False,False
呼吸困難,Dyspnoea,active_breast_comparator_class_exclusion,1,49,30,5364,50,5394,3.6489795918367345,0.48786923236102253,27.292256158896006,3.596,0.1652314341951171,0.9347179205375968,-3.004814102126781,0.2847171197648788,3.216707188687009,0.5186018811212695,False,False,False,False,False
悪心,Nausea,active_breast_comparator_class_exclusion,2,48,61,5333,50,5394,3.64275956284153,0.8657959859737931,15.326586687449808,3.537049180327869,1.4981271830417515,1.2127431935481443,-2.0447562637146928,0.5786186627479795,3.2772699314433185,0.911435021480968,False,False,False,False,False
嘔吐,Vomiting,active_breast_comparator_class_exclusion,2,48,62,5332,50,5394,3.5833333333333335,0.8519728950109303,15.071228031982224,3.48,1.445733854254969,1.2005106712138032,-2.047367738439115,0.5878030859662013,3.227752978048106,0.8976639600714605,False,False,False,False,False
うっ血性心不全,Cardiac failure congestive,active_breast_comparator_class_exclusion,1,49,37,5357,50,5394,2.9547710976282406,0.3974423181017467,21.96714300852108,2.9156756756756756,0.06639282790537557,0.8211123077575201,-3.0192422667290733,0.349008082292432,2.6563722556772276,0.42826392579265715,False,False,False,False,False
間質性肺疾患,Interstitial lung disease,active_breast_comparator_class_exclusion,14,36,628,4766,50,5394,2.9513446567586694,1.5830238529304872,5.5024030540368845,2.404968152866242,11.21901624689497,1.1807209005888224,-0.16147078843261697,5.896399706098457,2.356871752380664,1.4887804279774937,True,True,False,False,False
アナフィラキシー反応,Anaphylactic reaction,active_breast_comparator_class_exclusion,1,49,43,5351,50,5394,2.539629805410536,0.34283895495315797,18.812679992595307,2.5088372093023255,0.023148973607038124,0.730384909766991,-3.0344923248611964,0.4041146216017634,2.311275348861724,0.37262693599356306,False,False,False,False,False
骨髄抑制,Bone marrow suppression,active_breast_comparator_class_exclusion,1,49,72,5322,50,5394,1.5085034013605443,0.2054832454397212,11.074297113843652,1.4983333333333333,0.0,0.357883300699841,-3.129497959374425,0.6704628949301984,1.4197789270153214,0.22889867778951467,False,False,False,False,False
貧血,Anaemia,active_breast_comparator_class_exclusion,1,49,85,5309,50,5394,1.2746698679471788,0.17398707234460895,9.33852872145775,1.2691764705882354,0.0,0.21774757134439596,-3.1777612451166073,0.789860396767083,1.21047840253183,0.19515496431178525,False,False,False,False,False
倦怠感,Malaise,active_breast_comparator_class_exclusion,1,49,99,5295,50,5394,1.0915275200989487,0.1492282065452706,7.983961978206324,1.0896969696969698,0.0,0.08065501328329287,-3.231073274683847,0.9184423218221895,1.0446347866857202,0.16841743238714277,False,False,False,False,False
発熱,Pyrexia,active_breast_comparator_class_exclusion,1,49,108,5286,50,5394,0.9988662131519275,0.13667099972474614,7.30025911704675,0.9988888888888889,0.0,-0.0010596365080764972,-3.265586507069449,1.0011021307861867,0.9600754529311873,0.15478466229675678,False,False,False,False,False
肝機能異常,Hepatic function abnormal,active_breast_comparator_class_exclusion,1,49,113,5281,50,5394,0.953765577027271,0.13055167860076872,6.967882647483683,0.9546902654867256,0.0,-0.04453330794394315,-3.28475239212371,1.0470242468772961,0.9187587141174937,0.14812352181560415,False,False,False,False,False
好中球数減少,Neutrophil count decreased,active_breast_comparator_class_exclusion,2,48,236,5158,50,5394,0.9106638418079096,0.2200074076360933,3.769457772749509,0.9142372881355932,0.0,-0.10347359005313975,-2.5884830072005007,2.185892725936811,0.8894326296171741,0.24735833936144097,False,False,False,False,False
下痢,Diarrhoea,active_breast_comparator_class_exclusion,1,49,161,5233,50,5394,0.6633286855114716,0.09102827537476064,4.833717251160585,0.6700621118012422,0.0,-0.40626567375730055,-3.464500485178001,1.4878765613519471,0.650156402640895,0.10481909407807559,False,False,False,False,False
白血球数減少,White blood cell count decreased,active_breast_comparator_class_exclusion,1,49,186,5208,50,5394,0.5714285714285714,0.0784801486840136,4.16067779840244,0.5800000000000001,0.02878465253006537,-0.5639632383015323,-3.5533297372443666,1.7174871418074944,0.5642408872825402,0.09096767855631249,False,False,False,False,False
