pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
Disease progression,full_faers_excluding_all_dato,78,118,10626,1799093,196,1809719,111.91708696609213,84.02410067488614,149.06954379006558,67.77661358162689,5058.164774809562,5.56416632356467,3.345826790552635,1.1591616180870372,66.84131584798055,55.25606531200803,True,True,True,True,True
Stomatitis,full_faers_excluding_all_dato,41,155,5549,1804170,196,1809719,86.00325545433935,60.89588714540023,121.46238925928917,68.22196222154388,2637.606285916121,5.230530435417542,2.505396312399521,0.6053543950959023,66.87048964335527,51.30221336004466,True,True,True,True,True
Prescribed underdose,full_faers_excluding_all_dato,9,187,2072,1807647,196,1809719,41.9879601717837,21.480086415738793,82.07549845309399,40.10585995981404,304.2112571406898,3.711165500135896,0.2666170317826069,0.22535643939080013,37.79419392760266,20.906504211944924,True,True,True,True,True
Interstitial lung disease,full_faers_excluding_all_dato,8,188,4750,1804969,196,1809719,16.16993505039194,7.9647526945787135,32.82798720315115,15.550754027926958,94.94432191296987,3.0656205152117306,0.09639100207650353,0.5152551362909308,14.64143008559863,7.784404490586474,True,True,True,True,True
Dry eye,full_faers_excluding_all_dato,9,187,7622,1802097,196,1809719,11.379157855742664,5.8271886402906246,22.220875536895612,10.90256387257081,71.56543498215854,2.8404342913271257,0.21937658767502377,0.826379139351848,10.344292012991241,5.722121893999272,True,True,True,True,True
Infusion related reaction,full_faers_excluding_all_dato,8,188,8548,1801171,196,1809719,8.966492099682394,4.417705907810969,18.19903412572456,8.641329156838214,46.862240990531035,2.574932942869687,0.016483324476174843,0.926549589345356,8.15006196745259,4.3331408617249165,True,True,True,True,True
Infectious iridocyclitis,full_faers_excluding_all_dato,1,195,4,1809715,196,1809719,2320.147435897436,258.1519699166114,20852.384454165902,2308.3150510204077,460.76472172621413,1.5834010172799935,-3.0323112734258606,0.0005414618918567999,365.56029157967237,36.78833949960446,False,False,False,False,False
Procedural shock,full_faers_excluding_all_dato,1,195,4,1809715,196,1809719,2320.147435897436,258.1519699166114,20852.384454165902,2308.3150510204077,460.76472172621413,1.5834010172799935,-3.0323112734258606,0.0005414618918567999,365.56029157967237,36.78833949960446,False,False,False,False,False
Breast haemorrhage,full_faers_excluding_all_dato,1,195,15,1809704,196,1809719,618.7022222222222,81.32748710692115,4706.8027477531605,615.5506802721088,143.3038337763438,1.5799716911298585,-3.0316303893514798,0.0017326780539417598,213.6827418486007,21.504067682962173,False,False,False,False,False
Corneal epitheliopathy,full_faers_excluding_all_dato,1,195,19,1809700,196,1809719,488.4480431848853,65.06732947374286,3666.6863819487185,485.9610633727175,114.44407631767032,1.5787266817353751,-3.0313847067508153,0.0021658475674271997,185.6370290466512,18.68167359960026,False,False,False,False,False
Laryngopharyngitis,full_faers_excluding_all_dato,1,195,22,1809697,196,1809719,421.84079254079256,56.58069451014435,3145.059561252638,419.6936456400742,99.3869099423102,1.577793629265504,-3.031201111123409,0.0024907247025412796,169.00107314437278,17.007506006099252,False,False,False,False,False
Urinary bladder rupture,full_faers_excluding_all_dato,1,195,26,1809693,196,1809719,356.9414201183432,48.197581270207195,2643.4350861265075,355.12539246467816,84.51574625724105,1.5765504972563265,-3.030957203162228,0.0029238942160267193,150.96291608252807,15.192227210169902,False,False,False,False,False
Corneal erosion,full_faers_excluding_all_dato,1,195,34,1809685,196,1809719,272.95399698340873,37.178882109292886,2003.9301948402685,271.5664765906362,64.97108383403096,1.5740674421518361,-3.0304724153220555,0.0037902332429975995,124.40618228475157,12.519677260252015,False,False,False,False,False
Fungal pharyngitis,full_faers_excluding_all_dato,1,195,42,1809677,196,1809719,220.96178266178265,30.260175087960093,1613.477425532115,219.83952866861028,52.69917470984924,1.5715886533479397,-3.029991646617632,0.004656572269968479,105.7951616571115,10.646748057998801,False,False,False,False,False
Carcinoembryonic antigen increased,full_faers_excluding_all_dato,4,192,202,1809517,196,1809719,186.62510313531354,68.67517019919843,507.15460943514233,182.83683572438875,542.2674411033669,3.106951660077721,-1.0264974997972374,0.022308229944500158,152.1479842884256,59.65138893146637,True,True,False,True,False
Coronavirus test positive,full_faers_excluding_all_dato,1,195,65,1809654,196,1809719,142.77349112426035,19.71260624925994,1034.072791291843,142.05015698587127,33.99032588922774,1.5644857680078377,-3.028631627362152,0.0071472969725097585,73.9776297143709,7.444775102755277,False,False,False,False,False
Malignant ascites,full_faers_excluding_all_dato,1,195,66,1809653,196,1809719,140.6101787101787,19.418310498489316,1018.1741793883946,139.89788188002473,33.468313550313965,1.5641777387623725,-3.028573237646999,0.007255589350881119,73.02278827642826,7.348684165647382,False,False,False,False,False
Malignant pleural effusion,full_faers_excluding_all_dato,2,194,135,1809584,196,1809719,138.1889270714013,33.9670056211229,562.197909881989,136.78904006046864,148.69975168609244,2.2797430955099633,-2.0479651906587124,0.014836055836876317,98.96632893462882,23.651179243800296,False,False,False,False,False
Incorrect product formulation administered,full_faers_excluding_all_dato,1,195,73,1809646,196,1809719,127.1265191429575,17.580986426928614,919.2403359490037,126.48301649426894,30.209345094063075,1.5620233735622544,-3.028166227838503,0.008013635999480639,66.97186969152526,6.739747001755879,False,False,False,False,False
Rectal prolapse,full_faers_excluding_all_dato,1,195,82,1809637,196,1809719,113.17304565353346,15.674160387088293,817.1498789209508,112.60073419611746,26.827160323980202,1.5592581942229957,-3.0276473308124006,0.008988267404822878,60.52374858522847,6.09083716702534,False,False,False,False,False
Angular cheilitis,full_faers_excluding_all_dato,1,195,88,1809631,196,1809719,105.45635198135199,14.617225932949939,760.8175603378958,104.92341141001855,24.952500215692165,1.557417681366336,-3.027304136651055,0.009638021675051038,56.87320762283388,5.72346318419626,False,False,False,False,False
Vascular pain,full_faers_excluding_all_dato,1,195,99,1809620,196,1809719,93.73840973840974,13.008971740984906,675.4484239982471,93.26525458668316,22.10009394455344,1.5540494940693015,-3.026680601404229,0.010829237837135998,51.2104093657658,5.153584700133978,False,False,False,False,False
Keratitis,full_faers_excluding_all_dato,3,193,309,1809410,196,1809719,91.02117812767241,28.94176563056974,286.2594830426858,89.64330295224886,180.06549791387104,2.7130182466899906,-1.4419622966115102,0.03378722205186432,73.62557561219323,24.22870603275758,True,True,False,True,False
Respiratory syncytial virus test positive,full_faers_excluding_all_dato,1,195,108,1809611,196,1809719,85.9264482431149,11.934600398380836,618.6511706481938,85.49315003779289,20.19470275304724,1.551299541400689,-3.0261758468550806,0.011803869242478239,47.352795007898,4.76537178444081,False,False,False,False,False
Duodenal perforation,full_faers_excluding_all_dato,1,195,116,1809603,196,1809719,80.0001326259947,11.118382670456828,575.6251974653234,79.59707072484166,18.747237377258994,1.5488595317541676,-3.025731238542851,0.012670208269449118,44.38108802686986,4.466312592757294,False,False,False,False,False
Infusion related hypersensitivity reaction,full_faers_excluding_all_dato,1,195,134,1809585,196,1809719,69.25315729047072,9.635630343642728,497.7359678251791,68.90492689613158,16.11804889352331,1.5433845518688651,-3.0247447399777263,0.014619471080133598,38.88975158002545,3.913689252185754,False,False,False,False,False
Tumour marker increased,full_faers_excluding_all_dato,3,193,417,1809302,196,1809719,67.44332202631676,21.4749477359275,211.80967431812067,66.42633240346498,132.505163637203,2.6817493131731527,-1.4344011097411324,0.04548279891597119,55.15403318989811,18.150090448429555,True,True,False,True,False
Sialoadenitis,full_faers_excluding_all_dato,1,195,149,1809570,196,1809719,62.28084667010842,8.671872327872002,447.29715974697723,61.96818928913847,14.409432040476265,1.5388378868843076,-3.023937194153304,0.016243856755703997,35.254659725942645,3.547869997959945,False,False,False,False,False
Metastases to pleura,full_faers_excluding_all_dato,1,195,150,1809569,196,1809719,61.86560683760684,8.61443058934682,444.2955654107316,61.55506802721088,14.307605370104023,1.538535284749641,-3.02388382406411,0.01635214913407536,35.03633264793193,3.5258985452260974,False,False,False,False,False
Catheter site infection,full_faers_excluding_all_dato,2,194,338,1809381,196,1809719,55.187610565485265,13.648223006566587,223.15523115809975,54.634675763796636,58.1631179094135,2.2194193568142646,-2.0341741515665976,0.036819408646262396,41.64387406059466,9.952139686457933,False,False,False,False,False
Leukoencephalopathy,full_faers_excluding_all_dato,1,195,219,1809500,196,1809719,42.37208757756703,5.912162574460122,303.67801681180254,42.161005498089644,9.519489710141801,1.517807544309743,-3.020339420129614,0.023824323241699197,24.547156861785943,2.4703151878972887,False,False,False,False,False
Ulcerative keratitis,full_faers_excluding_all_dato,1,195,242,1809477,196,1809719,38.34450095359186,5.352460025137517,274.6962604998122,38.15396778546129,8.528651272092482,1.5109639519004285,-3.0192172331659513,0.026315047944240475,22.319790848418886,2.2461631151009227,False,False,False,False,False
Abnormal sensation in eye,full_faers_excluding_all_dato,1,195,254,1809465,196,1809719,36.53270745003029,5.1005253735369145,261.6669099528475,36.35141812630564,8.082824813988202,1.507406227610063,-3.0186432427357,0.027614556484696795,21.31089687390212,2.1446325744252843,False,False,False,False,False
Lung opacity,full_faers_excluding_all_dato,2,194,563,1809156,196,1809719,33.12805112523118,8.206099710722095,133.7380497487715,32.800213868851266,33.84901884929348,2.1553792441494477,-2.021503714178649,0.06118519377981839,25.3619336142764,6.061047674879731,False,False,False,False,False
Performance status decreased,full_faers_excluding_all_dato,1,195,292,1809427,196,1809719,31.77778363189322,4.438883668690005,227.49583181877765,31.620754123567234,6.912658804584166,1.4961976344692192,-3.016876795758164,0.031729666862808474,18.642438259439935,1.8760909310611449,False,False,False,False,False
Jaundice cholestatic,full_faers_excluding_all_dato,1,195,300,1809419,196,1809719,30.930239316239316,4.320879392368725,221.4085646198469,30.77753401360544,6.704088150201824,1.4938489862575404,-3.0165147015097373,0.03259600588977935,18.16362339616634,1.8279051621105624,False,False,False,False,False
Osteonecrosis of jaw,full_faers_excluding_all_dato,3,193,1069,1808650,196,1809719,26.299093143075947,8.394623838788206,82.39110095110885,25.911862125579887,48.988211073747806,2.506143233725651,-1.4006201657045683,0.1160894296140979,21.933510976838324,7.217880271975331,True,True,False,True,False
Amylase increased,full_faers_excluding_all_dato,1,195,387,1809332,196,1809719,23.975776850195455,3.351808525636794,171.50080954017437,23.858553498918948,4.993538502713062,1.4685513155278813,-3.0127905203272056,0.042017442808087675,14.197929486529729,1.4288156076384548,False,False,False,False,False
Cystitis haemorrhagic,full_faers_excluding_all_dato,1,195,417,1809302,196,1809719,22.250531882186557,3.1111842411229103,159.13109950104098,22.142110801154992,4.569699233014823,1.4599298297992347,-3.0115946075955806,0.04526621415922847,13.20385388746617,1.328776321455063,False,False,False,False,False
Pulmonary toxicity,full_faers_excluding_all_dato,2,194,940,1808779,196,1809719,19.837453388901075,4.918727980077465,80.00535068227643,19.64523447676943,19.17041789970193,2.0540653339601533,-2.0055037563953384,0.1020114204258211,15.323417729127712,3.6620222578794177,False,False,False,False,False
Discouragement,full_faers_excluding_all_dato,1,195,476,1809243,196,1809719,19.491952165481578,2.7262565035412245,139.36186808831474,19.397605470759732,3.892861894555739,1.4431230801778767,-3.009369805194666,0.05165546448313871,11.605771480181756,1.1679525134493434,False,False,False,False,False
Psychiatric symptom,full_faers_excluding_all_dato,1,195,522,1809197,196,1809719,17.77381864623244,2.486397933271314,127.05473449840107,17.688237938853703,3.4720984334794975,1.430154010119748,-3.007748854066685,0.05663691388822127,10.605042042407463,1.0672436149390543,False,False,False,False,False
Anuria,full_faers_excluding_all_dato,1,195,541,1809178,196,1809719,17.14941940376321,2.3992077087902337,122.58321145294555,17.067024406805235,3.319392969627661,1.4248310575329377,-3.007107630304506,0.05869446907727711,10.240328152480497,1.0305404534855067,False,False,False,False,False
Coronavirus infection,full_faers_excluding_all_dato,1,195,555,1809164,196,1809719,16.716692076692077,2.3387755535402523,119.48465664605301,16.636504872219156,3.213641103901298,1.4209214109436494,-3.0066455603657554,0.06021056237447615,9.987246811905289,1.0050714884678262,False,False,False,False,False
Aphthous ulcer,full_faers_excluding_all_dato,2,194,1167,1808552,196,1809719,15.976748911209462,3.9625895853566435,64.41658927159854,15.823924942727734,14.911222105215218,1.9963257174237703,-1.9985501879227594,0.1265937903161198,12.374298975143141,2.957235720755112,False,False,False,False,False
Metastases to liver,full_faers_excluding_all_dato,3,193,1838,1807881,196,1809719,15.289323831377878,4.88353984851432,47.86761866842462,15.070609691101685,26.57861199098063,2.323234802441354,-1.3804679554337094,0.19936626858167372,12.823553974915944,4.2199754225348745,True,True,False,True,False
Meningitis,full_faers_excluding_all_dato,1,195,624,1809095,196,1809719,14.867644641683103,2.080486414768676,106.2476811298697,14.796891352694923,2.7626398826844465,1.4018057264113717,-3.004494532618029,0.06768273648209999,8.9028319006179,0.8959408612257825,False,False,False,False,False
Breast pain,full_faers_excluding_all_dato,1,195,656,1809063,196,1809719,14.142143527204503,1.9791153774371764,101.05536333260126,14.075091774514682,2.5861644740995464,1.393025726125706,-3.003566543958504,0.0711480925899835,8.47601435015731,0.8529878673902598,False,False,False,False,False
Erythema multiforme,full_faers_excluding_all_dato,1,195,689,1809030,196,1809719,13.464552863682036,1.884424666733307,96.20664971084551,13.40095820621427,2.421653553628297,1.3840269698742085,-3.0026544644542583,0.07472174107623838,8.076702548351752,0.812802928080953,False,False,False,False,False
Incorrect drug administration rate,full_faers_excluding_all_dato,1,195,711,1809008,196,1809719,13.047769483212521,1.8261740676151847,93.22456796759538,12.986301271563477,2.320634937729003,1.3780588315335347,-3.002071290826314,0.0771041734004083,7.8307603026392,0.7880524093813676,False,False,False,False,False
Pelvic fracture,full_faers_excluding_all_dato,1,195,748,1808971,196,1809719,12.40210475798711,1.7359243927614083,88.60535808440997,12.34393075411983,2.1644373288063434,1.368076852891609,-3.001134538557511,0.08111099140014863,7.44926306301054,0.7496602472869182,False,False,False,False,False
Oral pain,full_faers_excluding_all_dato,2,194,1527,1808192,196,1809719,12.20769786455485,3.0286238574506483,49.206469395543095,12.093333600630821,10.764513446451684,1.9092461738788986,-1.9909582148765395,0.1655790465298094,9.480621764563255,2.2656987190509112,False,False,False,False,False
Metastases to central nervous system,full_faers_excluding_all_dato,2,194,1539,1808180,196,1809719,12.112430752329468,3.0050100576877417,48.822125687947256,11.999038601795492,10.659966918582725,1.9064321329382108,-1.990770027015527,0.16687855507026572,9.407293246759078,2.248174517264925,False,False,False,False,False
Intraocular pressure increased,full_faers_excluding_all_dato,1,195,813,1808906,196,1809719,11.410136562904091,1.597245227600149,81.50984841553243,11.35702362125662,1.9252992922119927,1.3507064628586225,-2.9996192823995393,0.08814999599428702,6.861978662521348,0.6905585931804044,False,False,False,False,False
Disseminated intravascular coagulation,full_faers_excluding_all_dato,1,195,904,1808815,196,1809719,10.261033582936237,1.4365620802705275,73.2922103654008,10.213783411594726,1.6499087876312373,1.3267340077207044,-2.997766334779751,0.09800460242608078,6.179885609987727,0.6219158238071354,False,False,False,False,False
Oral discomfort,full_faers_excluding_all_dato,1,195,969,1808750,196,1809719,9.572384959381864,1.3402472637525575,68.36839461551575,9.528648301425832,1.4859647927358173,1.3098514708003548,-2.996626113320636,0.10504360702021918,5.770194377219375,0.5806863453647024,False,False,False,False,False
Compression fracture,full_faers_excluding_all_dato,1,195,985,1808734,196,1809719,9.416811141481192,1.3184866803848063,67.25614554440834,9.373868227494043,1.4490664055639648,1.3057258944574608,-2.99636807141028,0.10677628507416094,5.677544802536603,0.5713625099087365,False,False,False,False,False
Intestinal perforation,full_faers_excluding_all_dato,1,195,1011,1808708,196,1809719,9.174506074209338,1.2845933132361362,65.52389837189777,9.132799410565411,1.3917114409707647,1.2990468935482447,-2.9959674141782937,0.1095918869118163,5.5331735759311655,0.5568336406068102,False,False,False,False,False
Candida infection,full_faers_excluding_all_dato,2,194,2064,1807655,196,1809719,9.028884959641973,2.240513979062507,36.384849358788465,8.946957562094605,7.289513995179395,1.788400520540962,-1.9860277014761007,0.22373205371522972,7.028826979196514,1.6797636989085867,False,False,False,False,False
Posterior reversible encephalopathy syndrome,full_faers_excluding_all_dato,1,195,1045,1808674,196,1809719,8.875838547417494,1.2428136471558313,63.38883556686947,8.835655697685771,1.3212215515979582,1.2903592121218763,-2.995477814330762,0.11327382777644254,5.355102479942511,0.5389133683967484,False,False,False,False,False
Inappropriate antidiuretic hormone secretion,full_faers_excluding_all_dato,1,195,1045,1808674,196,1809719,8.875838547417494,1.2428136471558313,63.38883556686947,8.835655697685771,1.3212215515979582,1.2903592121218763,-2.995477814330762,0.11327382777644254,5.355102479942511,0.5389133683967484,False,False,False,False,False
Osteomyelitis,full_faers_excluding_all_dato,1,195,1099,1808620,196,1809719,8.43946711462635,1.1817662874944013,60.26962008695568,8.401510649755807,1.2186896866554928,1.2766677647358071,-2.9947784076527233,0.11912161620849598,5.094695733016096,0.5127072075128095,False,False,False,False,False
Ascites,full_faers_excluding_all_dato,2,194,2262,1807457,196,1809719,8.237655755785866,2.0442902703798427,33.19439187969298,8.163802125624786,6.431071945209787,1.746278959142886,-1.985799502397372,0.245173944632759,6.4169464724128575,1.5335352220365517,False,False,False,False,False
Pneumocystis jirovecii pneumonia,full_faers_excluding_all_dato,1,195,1170,1808549,196,1809719,7.927017313171159,1.1100685758786788,56.60695640679316,7.891675388103959,1.0990879460585574,1.2588615358645696,-2.994000337614502,0.12681037507286252,4.788533534376788,0.4818964242715082,False,False,False,False,False
Hepatic function abnormal,full_faers_excluding_all_dato,3,193,3660,1806059,196,1809719,7.670343158073558,2.4510899959928656,24.003265591549127,7.568246068919372,11.176474618594463,1.964697871114947,-1.382190617989382,0.39667498197429163,6.463225742375969,2.1269184686611102,True,True,False,True,False
Cerebral haemorrhage,full_faers_excluding_all_dato,2,194,2522,1807197,196,1809719,7.387350082163558,1.833390106420131,29.766137084158704,7.322173040508828,5.513423704512425,1.6927720777906017,-1.9865946793468798,0.2733299630093126,5.758662135832417,1.3762170613504638,False,False,False,False,False
Bacteraemia,full_faers_excluding_all_dato,1,195,1269,1808450,196,1809719,7.308197450041422,1.0234781357899787,52.18455392558752,7.276012769173863,0.9560734075961779,1.2343943754163267,-2.993172257846167,0.13753132053162717,4.418308172700149,0.44463861315129904,False,False,False,False,False
Metastases to lung,full_faers_excluding_all_dato,1,195,1286,1808433,196,1809719,7.211520516808231,1.0099492731112034,51.49370324723208,7.179829085600025,0.9338942675274496,1.2302343734718326,-2.9930590738950285,0.1393722909639403,4.3604179160343515,0.43881279873710843,False,False,False,False,False
Paraesthesia oral,full_faers_excluding_all_dato,1,195,1307,1808412,196,1809719,7.095568242010476,0.9937226772119045,50.66513005246781,7.064468404041035,0.9073583450253934,1.2251120535358326,-2.992930688862373,0.14164643090973886,4.290967465734804,0.431823618558431,False,False,False,False,False
Faeces soft,full_faers_excluding_all_dato,1,195,1340,1808379,196,1809719,6.920700344431688,0.9692505604269417,49.415595113320634,6.890492689613158,0.8674817043330256,1.2170992594177106,-2.992754118106234,0.14522007939599374,4.186191731894398,0.4212794611194906,False,False,False,False,False
Melaena,full_faers_excluding_all_dato,1,195,1374,1808345,196,1809719,6.7493188519389395,0.9452654786288092,48.19101722747504,6.7199855924902705,0.8285775553060112,1.2088899379625044,-2.9926038400588535,0.14890202026061997,4.08346134688642,0.4109411383649392,False,False,False,False,False
Oral candidiasis,full_faers_excluding_all_dato,1,195,1494,1808225,196,1809719,6.206792983901417,0.8693325091200136,44.31478029506141,6.18022771357539,0.706748025305702,1.1802836333859188,-2.992321133045129,0.16189710566518317,3.757972765459664,0.37818543509905966,False,False,False,False,False
Underdose,full_faers_excluding_all_dato,4,192,6426,1803293,196,1809719,5.84634363004461,2.1713689512512993,15.741099098274548,5.747438658002883,11.33028156802236,1.9113216667031117,-0.9973711744641258,0.6963199929278446,5.113975822732564,2.004993771127749,True,True,False,True,False
Lacrimation increased,full_faers_excluding_all_dato,2,194,3425,1806294,196,1809719,5.436959891639702,1.3495373589173232,21.90419751477942,5.391684790704603,3.440766860113392,1.520988064965275,-1.9971193315794218,0.37111798067865065,4.24590353657024,1.0146948631553274,False,False,False,False,False
Pain of skin,full_faers_excluding_all_dato,1,195,1746,1807973,196,1809719,5.310227039093019,0.7438283871673502,37.909969145033955,5.288236084811931,0.5111808641902931,1.1219955570991202,-2.9928914959357145,0.18918678501476588,3.219126745289145,0.32395840118795627,False,False,False,False,False
Ocular discomfort,full_faers_excluding_all_dato,1,195,1762,1807957,196,1809719,5.261960476148898,0.737071209517801,37.56520088563361,5.240215779842016,0.5009142519145752,1.118373042741685,-2.9929771859202265,0.19091946306870763,3.1900843349314894,0.32103570395651637,False,False,False,False,False
Wound infection,full_faers_excluding_all_dato,1,195,1859,1807860,196,1809719,4.987131211983283,0.6985946071354436,35.60216106952535,4.9667887057996944,0.44309111636170195,1.0966041632325259,-2.9936147780897984,0.20142382377072957,3.0246515132650127,0.3043872906905546,False,False,False,False,False
Hypocalcaemia,full_faers_excluding_all_dato,1,195,1879,1807840,196,1809719,4.933993804669696,0.6911550154449295,35.22262635806434,4.913922407707096,0.432045318804711,1.0921562913355882,-2.9937708398764724,0.20358967133815675,2.99265268383976,0.3011670727741085,False,False,False,False,False
